abs,date,rate,type,state
1,2015-01-01,0.1,toddler,W.P. Labuan
3,2016-01-01,0.4,toddler,W.P. Labuan
0,2017-01-01,0.0,toddler,W.P. Labuan
1,2018-01-01,0.1,toddler,W.P. Labuan
6,2019-01-01,0.8,toddler,W.P. Labuan
3,2020-01-01,0.4,toddler,W.P. Labuan
6,2021-01-01,0.7,toddler,W.P. Labuan
3,2022-01-01,0.4,toddler,W.P. Labuan
3,2023-01-01,0.5,toddler,W.P. Labuan
3,2010-01-01,0.4,toddler,W.P. Putrajaya
2,2011-01-01,0.2,toddler,W.P. Putrajaya
5,2012-01-01,0.5,toddler,W.P. Putrajaya
2,2013-01-01,0.2,toddler,W.P. Putrajaya
8,2014-01-01,0.7,toddler,W.P. Putrajaya
5,2015-01-01,0.4,toddler,W.P. Putrajaya
7,2016-01-01,0.6,toddler,W.P. Putrajaya
2,2017-01-01,0.2,toddler,W.P. Putrajaya
5,2018-01-01,0.4,toddler,W.P. Putrajaya
2,2019-01-01,0.2,toddler,W.P. Putrajaya
2,2020-01-01,0.2,toddler,W.P. Putrajaya
0,2021-01-01,0.0,toddler,W.P. Putrajaya
2,2022-01-01,0.2,toddler,W.P. Putrajaya
3,2023-01-01,0.3,toddler,W.P. Putrajaya
